cau_goc,nhan
máy rất tốt trong tầm giá nếu được tặng cl hoặc ốp thì tốt,1
"Nhận được hàng nguyên Seal, đủ phụ kiện như Shop đã quảng cáo. Đây là bản nội địa chỉ có tiếng Anh và tiếng Trung, không có các dịch vụ của Google. Mình đang dùng tạm chờ sau 7 ngày để up ROM quốc tế. Nếu có vướng mắc sẽ nhờ Shop hỗ trợ nhé. Thanks.",1
Máy còn xem phim phê lòi. Mua cho mẹ xem pháp luân công sướng tê rốn kakaa,1
"Bề vỏ nhựa bám vân tay cực kỳ, mới mua về chưa được 10 ngày lỡ rớt gãy mẹ cái vân tay. Mở khóa vân tay và nhận diện khuôn mặt rất chậm.
Giá như v không xứng đáng. ",0
Sản phẩm dùng tốt máy đẹp 95%... Nói chung tốt trong tần giá,1
"Máy mình mới mua mà bị lỗi sạc không vào. Đem ra bảo hành thì không được hỗ trợ, nói sản phẩm bị sét, nhân viên thiếu lịch sự, nhân viên bảo hành cố ý muốn ăn tiền khách hàng nên cố tình đánh giá sai lỗi sản phẩm để không bảo hành để kêu khách hàng bù tiền vào để sữa chữa, kêu chụp chỗ sét không chụp mà không chụp mà tự gửi máy về. Thế giới di động chợ mới an giang",0
Đã dùng đc khoảng 3 tháng và thật thất vọng.  Vân tay chỉ dùng đc 1 lần đầu tiên và duy nhất. Mở khóa bằng khuôn mặt lúc đc lúc không . Camera không có gì xuất sắc.  Hiện tại sau 3 tháng đã có hiện tượng giật lag . Không phù hợp với giá hơn 9tr đồng ,0
Hàng đẹp nhé pin 100%  sẽ ủng hộ shop thêm nữa ,1
Bắt wifi kém . Thỉnh thoảng đang lướt face thì bị chuyển sang trang khác . Thỉnh thoảng đơ giật. loa thì ko quá tốt . Vào các trang thì khá chậm đơ đơ . Máy này đắt hơn oppo a7 mà mk thấy còn không hơn j nhiều. Dòng mày Oppo dùng khá chán . Nhưng được cái thái độ phục vụ của chị ở siêu thị điện máy xanh tại tràng An rất tốt.,0
Rất hài lòng về sản phẩm. Đúng như mong đợi,1
ổn bản TV cài ko có lỗi,1
"Mua hơn 1 năm tại tgdd mình nx máy thì chỉ gọi là ok trong tầm giá thôi vì máy rất giật lag đặc biệt khi sử dụng đến cam bật lên là lag thôi rồi, nói chung là chỉ bật được khoảng 2 hay 3 ứng dụng là đã thấy lag r",0
Thất vọg!! Qá là thất vọg! Camera chụp thiếu sáng rất kém. Hình chụp lúc troi âm u 13h chiều mà tối hù. Ngày truoc ham jo mua 3i cảm thay that vọg rồi,0
ko bật đc mạng dữ liệu di động,1
"Sau 2 ngày sử dụng tôi thấy pin 4000mah của máy không trâu cho lắm có thể ngang với j7 prime . vân tay lúc nhận lúc không , sạc pin k có đèn báo đang sạc nên cũng khó nhận biết pin đầy hay chưa mà sao pin đầy 100% rút ra bấm vài cái là tục 1% rồi không hiểu sao nữa ",0
"Gửi hình ảnh về cộng dây sạc sạc chưa đc 5 lần, toàn phải mượn dây sạc để sạc, ko dám sạc phải quấn để trong balo, lo đi làm cũng cũng hk thể lên tận nơi để phàn nàn, màn hình lại phát hiện có chấm đen ngây cột sống ",0
Mua hôm 7/3/2019 tại TGDD. Đến nay pin còn 93%. Pin nhanh hết và sạc thì chậm. Mặc dù đã tắt hết tất cả các chức năng ko cần thiết để tối ưu hoá cho pin. ,0
Camera quá tồi!,0
"Cảm nhận đầu tiên sau nửa ngày: PIN TỤT Con Chip Snap 660 tạm ổn, vẫn có hiện tượng đơ nhẹ khi chuyển app, game ko quá mượt.",0
Ổn so với giá tiền,1
Xài rất tốt,1
"Ngay hà nội nên nhận hàng rất nhanh, sản phẩm chất lượng tốt dùng mới dc vài ngày thấy oke. Đóng gói cẩn thật đẹp mắt",1
dùng cái gì thì cũng ok. Pin 4100 mà quá kém. Tụt như uống nước. K chấp nhận dc.,0
"Shop tận tình, nhiệt huyết. Máy chơi game tốt, nhưng vẫn còn lỗi ROM, chắc factory reset thì được. Cho 5 sao ạ",1
Sop giao hàng nhanh máy đẹp phụ kiện thiếu cáp sạc máy không full tiếng việt người lớn tuổi khó sử dụng còn lai ok trong tầm giá ,1
"Hàng tân trang,máy hở nhét vừa lá bài, pin chuẩn quần thung, pin con 30% tự cúp nguồn. Gọi shop k bắt máy. ",0
"Shop này kinh doanh mà không có 1 chúc huy tính nào hết, mình mua 3 cái hứa sẽ giao cho mình 1 cái màu hồng mà cuối cùng giao cho mình 3 cái màu đen",0
hàng chính hãng giá rẻ. giảm 2tr + giảm 2tr khi thanh toán Citibank,1
Rất hài lòng với shop,1
chơi game thì cực kỳ tệ.  Đứng máy.  Cực kỳ lag.  Tốt nhất ai có ý định mua chơi game thì tìm mua 3ram hoặc 4ram trở lên.  Chứ cái vivo này như cái lol. ,0
"Với mức giá này thì xài cũng bình thường, chơi pubg ko lag ko nóng pin ổn, hệ điều hành Android one hơi bực mình vì xóa được thanh google màng hình chính, thiết kế loa hơi tệ vì chơi game bị vướng che mất loa, xài 3 tháng xem phim đã doaw về máy thì bị loạn cảm ứng , nói chung là ko hài lòng.",0
Camera trên cùng của a70 sao ko dùng dk ? ,0
Sản phẩm rất tốt và hài lòng cảm ơn shop nhìu nha b💖💖💖💖💖💖💗💗💗💗💗💗💋,1
Sản phẩm nguyên seal,1
Quá tệ. Cảm biến vân tay thì thôi bấm không ăn mặc dù đã cài đi cài lại rất nhiều lần 🙄,0
"Lóa nghe nhạc có tiếng rề rề,vẫn tay lúc được lúc không,mới thư đều ơn.mong samsung khắc phục lại!",0
"Máy mình cũng bị loạn cảm ứng,nhìu khi đang nhắn tin cảm ứng bị loạn tự gửi tn rất bất tiện.",0
Shop phuc vụ rất tốt.. Mink đã ủng hộ shop một lần và giờ là lần thứ 2 rồi nhé.. Mjk sẽ ủng hộ tiếp nữa...,1
Máy liệt cảm ứng liên tục..giống như hàng fax giả vậy..tệ quá là tệ..đơ luôn cái màn hình phải dùm phím cứng bấm phát mới vuốt đc..thôi cho con gái kéo xe vậy,0
Đã test thử full máy  Tóm lại là cực kỳ hài lòng  Lần sau mà gì sẽ ghé shop mua 😍 Feedback sau 10 ngày sử dụng Máy k 1 lỗi nhỏ dù mình trải nghiệm rất kỹ  - màn đẹp k tì vết - pin khoẻ (cực ưng ý về pin) - camera tốt - rõ nét- ổn định - loa trong - ngoài to rõ (k rè k lẹm k ...) - ,1
"Mình đặt màu xanh, shop giao nhầm màu đỏ, chất lượng máy ổn, loa thoại hơi rè. Hy vọng lần sau shop nên kiểm tra kỹ hơn để giao đúng màu cho khách, như vậy trải nghiệm mua hàng online sẽ tích cực hơn.",0
"Dùng 2 tháng rồi cập nhật 3 lần vẫn bị lỗi 4g đang dùng chuyển 2g nản quá. Khởi động lại liên 4g và 3g 
",0
Lấy màu đen thì ship màu vàng!,0
Pin tệ pin 5000 mà tệ hơn 4000 của xiaomi mình xài trước dây. Nghe nhạc nhỏ. Màu xanh nhìn cũ cũ haizaaa thật thất vọng 😑😑😑,0
Không nghe được loa thoại,0
Máy đẹp lắm mấy bạn. Mình có riền mua cái nửa. Chủ shop nhiệt tình tư vấn.,1
Không thể chê được. Đã tưng mua của shop còn Samsung galaxyv nốt 4 rui. Xài được 6 tháng cho đứa e. Nay mua con này nên khá yên tâm về shop. Cho shop 5sao. Shopbnhiệt tình lắm. Sẽ ung hộ tiếp. Giao hàng cực chuẩnblun,1
đã nhận hàng. hàng đẹp. nhờ laz kích hoạt bảo hành giúp,1
"màng hình đi ngoài trk thì k dc tốt nhìn kém
- chạy mạng vina khá mạng cn viettel thì mất sóng suốt dù chuyển vùng bật cả hổ trợ lite
-game cách ngày k chơi vào game đầu hay bị rớt mạng liên tục trong 1 trận",0
Tôi vẫn thấy giá cao số với chất lượng. Chỉ đọc báo lướt web không có âm thanh mà pin tuột nhanh chóng mặt.,0
"ok, đóng gói niêm phong cẩn thận.",1
"Máy đơ lác,không muốn sử dụng sản phẩm Samsung nữa. Cảm ứng nhảy lung tung cả. Sạc  mỗi tiếng đc khoảng 10%.",0
hành ko ok bạn ah mình mua về giờ để môt chỗ mà còn nhanh hêt pin nói chung ko dùng dc,0
Xài 1 tháng đầu rất tốt để qua đêm chỉ mất 1% hơi lag 1 tí phim ổn camera ổn nhưng qua 3 tháng sử dụng thì để qua đêm mất tới 7~10% lag khá rõ ,0
Lúc nhận hộp bị bẹp xíu mà mở ra k sao nên hiện tại dùng vẫn ngon lành,1
Nhưng vỏ bị tróc sơn đen nắp lưng,0
"Mới mua xài 3 ngày,camera 2 cái nhưng thực chỉ có 1,xem video hơi mờ,đôi lúc máy bị đơ,chơi game thì bị giật k mướt trong khi wifi căng.,so với giá thì tạm ổn.",0
"Máy mới thỉnh thoảng bị treo, phím có lúc cảm giác như loạn (chưa ấn đã như ấn).
",0
Pin kém quá .từ sáng tới 12h trưa pin còn 65% mặc dù rất ít sử dụng máy .mới mua đc 1 ngày ,0
Máy mua về hay bị đơ. Máy dỏm mọi người đừng mua nha. Mọi người nên mua A10 sài được hơn A10S,0
Chất lượng sản phẩm tuyệt vời nhá.shop thì nhiệt tình khỏi bàn.ae ủng hộ shop nhiều nhá,1
"Đã nhận hàng, tiếc là mình đặt màu trắng và đã nhắn lưu ý shop mình chỉ lấy màu trắng thế mà shop giao màu xanh cho mình. Hy vọng mấy xài ổn, tạm cho 5 sao, nếu được mình sẽ mua con nữa, và mong shop lưu ý màu khách đặt giùm nhé",1
"Thấy thất vọng.
Mới mua chưa đầy 1 tuần
Cảm biến vân tay và khuôn mặt hoạt động kém. Lúc được lúc không.
Đặc biệt là khuôn mặt gần như không hoạt động.

Mình đang sử dụng Xiaomi 6X khi chuyển qua dùng A7 2018 đúng là thấy quá thất vọng. Giá cao hơn mà không bằng hàng tàu.",0
pin chế độ chờ vẫn nhanh tụt pin,0
Dt này chơi game liên quân giật kinh khủng chơi wifi hay 4g gì cũng vậy sai lầm khi mua máy,0
"Đã nhận được hàng , tạm yên tâm khi thấy máy còn nguyên seal chưa active",1
đặc mầu đen giao màu hồng vải nồi làm ăn nhử bùi,0
"bán hàng mô? đặt màu trắng giao màu đen, pin phù 40% sập ngùn, máy đã bị sử dụng, thiếu vít trên máy, nghi ngờ đã bị tháo dựng lại. Đen chi rứa😢",0
mới nhận thấy nghe rõ to.be ngoài ok.chua biết xài lâu thêa nào.maf shop 3 tháng thấy yen tâm chút,1
"Chú này làm ăn đàng hoàng, nhiệt tình tư vấn cho khách. Khi hỏi đáp thắc mắc đều lễ độ, lịch sự và phong cách chuyên nghiệp. Giao hàng nhanh, đúng mẫu. BƯỚC ĐẦU ĐÁNH GIÁ 5 SAO - ĐỢI MẤY THÁNG SAU XEM MÁY CÓ TRỤC TRẶC GÌ THÌ TÍNH TIẾP. ",1
"hàng chất như nước cất. giao thì nhanh, tk shop",1
Dt đẹp ! Mini dễ thương lắm nhe ! Mn nên mua Kkk 😝😝😝 sẽ ủng hộ nua,1
Cảm ơn shop. iu lắm!,1
Tải ứng dụng bằng 4g ko đươc .mọi thứ thấy bt giá tầm đó cũng tạm ổn cũng nóng máy nhanh,0
"Cảm biến vân tay tệ, màn hình cảm biến chậm , ko mượt cứ như đt cũ vậy. Pin trâu , nhiều ứng dụng cài sẵn ko cần thiết",0
"Pin quá tệ, máy nóng, trầy nhẹ.",0
"Điện thoại đẹp lắm,nghe gọi ok Pin dùng khoảng 2 ngày . Hihi ưng lắm shop Mình hay dùng kết nối bluetooth với điện thoại chính của mình để nghe gọi và nghe nhạc,mua cái cài tai thay luôn tai nghe bluetooth. Tránh trường hợp bị cướp giựt. Bạn bè ai cũng hỏi là mua ở đâu mà đẹp thế,thế là mua  nguyên bộ đủ màu cho mọi người luôn ^^ thích lắm, cảm ơn shop nhiều nha",1
Máy dung cũng dc nhưng tôi ko bt cách lập icloud,1
"Máy rất đẹp, very good. Màn đẹp, ko ám ko ố. Các nút bấm rất Chắc chắn ko ọp ẹp. Pin vẫn tạm ổn vì shop báo đã thay pin mới. Vân tay nhậy, pin nghe gọi ok, loa to đùng.",1
giống quảng cáo,1
Lúc mới cái gì cũng ok. Chỉ có sài hơn 1 năm bắt đầu xuống cấp. Loa ngoài bị nhỏ lại. Pin thì mau tuột.,0
"Chất lượng sản phẩm tốt, giao hàng nhanh, đóng gói hàng rất kỹ và chắc chắn.",1
Cảm ứng bị loạn sao lướt thì nó hay chạm vào màng hình rồi tự chọn luôn...chán quá,0
"Cấu hình tệ,mới mua đc vài tiếng,pubg đồ hoạ thấp nhất vẫn lag kinh khủng:(  ánh sáng màn hịnh tự động chỉnh xuống thấp thường xuyên",0
"Đã mua cái thứ 2, máy đẹp xuất sắc, dùng ngon chưa lỗi lầm gì. Nói chung rất hài lòng về sản phẩm và phục vụ của chủ hàng và đóng gói rất đẹp ",1
Tốt thiệt ,1
"Giao hàng nhanh, đóng gói hàng cẩn thận, chất lượnh tuyệt vời",1
Sau vài lần cập nhật phần mềm thì máy bắt wifi quá kém. Oppo nên coi lại cách làm ăn,0
máy mới chất lượng tuyệt vời.,1
San pham ok lam ,1
Mua đúng lúc sản cảm ơn shop nhé ,1
Điện thoại A70 này tôi mua nay 2 tuần khá thất vọng...dấu phân tay kém ....nhận điện khuân mặt cũng tạm đc....máy cảm ứng không nhạy ....máy hay nóng...camera cũng đc.,0
"Tắt wifi thì máy bị ngắt 3g, phải khởi động máy lại mới có 3g. qua bất tiện..........",0
Nút home ảo hay bị lỗi. Nói chung là ip7 không được kỳ vọng như mong đợi. Hãy chờ ip7 s đi để sữa những lỗi của ip7 như vậy sẽ tốt hơn,0
Shop tận tình lắm đẹp đòng gói đẹp.,1
Cho em hỏi ad là sao lúc mới mua máy về thì từ đêm tới sáng chỉ tụt khoảng 1-2% pin. Sau khi xài được khoảng 3 tháng thì từ đêm tới sáng tụt đến tận 5-6% pin ạ. Không biết máy có lỗi gì hay không,0
Hàng chính hãng nguyên sale hộp luôn. Đóng gói rất ok . Trước khi mua còn lăn tăn phải chính hãng ko.Sau khi nhận nguyên sale hộp chưa kích bảo hành thì yên tâm hoàn toàn. ,1
Máy em loa thì quá tệ bị sai màu hết bắt sống 4g yếu Tôi mún đổi tgdd nói là máy khong lỗi nhưng nó quá tệ a10,0
Tốt,1
Ok,1
"Dùng dk 2 tháng. Thấy pin hao nhanh , chơi game thì nóng máy.  Máy thỉnh thoảng bị đơ , nhưng dk cái chơi game mượt , với sạc rất nhanh. Loa thì nghe hay. ",0
"Máy đúng như mô tả, shop tư vấn nhiệt tình,  có tâm với khách hàng! ",1
Loa không ổn lắm. Đt sài thì khá ok. Nhưng sao trong phần danh bạ. Khi lưu sdt trên sim thì k có mục chỉnh sửa?,0
Sao cập nhật lên anroid 9 thì phần âm thanh trong cài đặt vào không được cứ thoát ra hoài .có phải do máy lỗi hay khoonh,0
Mới nhận hàng thấy OK chất lượng thì cần thời gian mới biết. Hàng dùng mà OK sẽ ủng hộ shop dài dài.lấy 2-3 cái có giảm giá hoặc quà tặng gì không ạ,1
Dùng rất tốt nên mua nha mọi người,1
"Sản phẩm tốt nhưng sài mạng 3g 4g chạy quá chậm dù là sóng mạnh, mạng mạnh. Đề nghị khắc phục tình trạng này",0
sản phẩm samsung m20 lỗi quá nhiều.người mua đánh giá quá thấp.10 máy lỗi hết 8 máy,0
"Shop phục vụ rất tốt , nhiệt tình , hàng đẹp ko 1 lỗi lầm , cho shop 10 sao , chúc shop mua may bán đắt :D",1
"Hàng ngon bổ rẻ, giao hàng 24h là có",1
"Dùng thấy khá ổn,chưa thấy vấn đề j,mới dùng thì app tàu nhiều hơi khó chịu. Chờ shop up tiếng việt nữa hi vọng oke hơn",1
"Máy dùng quá chán chưa được 1 tháng màn hình đơ,cấu hình xấu quá to,loa bị hiện tượng rè,chụp anh xấu,bắt mạng cũng hơi kém",0
ngon mượt cho shop 5 sao 😁😁😁,1
"Quá nhiều lỗi, không xứng với thương hiệu Samsung. Với số tiền này có thể lựa chọn nhiều điện thoại tốt hơn. Xứng đáng 1 sao.",0
"dây sạc xài được hai tháng hư, đem ra kỹ thuật nói đem bảo hành. làm phải mua cái dây mới ",0
Chất lượng tốt,1
Sao máy báo CPU bị lỗi. Mạng lại chạy không nổi. Gắn sim qua máy khác lại chạy bình thường,0
Quá tuyệt vời... a chủ rất tốt bụng và vui tính.. máy ổn pin ngon lại dk tặng nhiều phụ kiện nữa.. bạn nào băn khoăn giống mk lo sợ thì hãy tìm đến shop này nhé.. 😊 không làm bạn thất vọng đâu,1
"Máy như mới, đúng chuẩn 99%. Máy và phụ kiện được bao bọc cẩn thận. Hài lòng!",1
"Dùng thì cũng ok đánh game ko bị giật lát,..moi toi sao pin giật nhanh mao hết pin quá mở chế độ sang 20% camera tam được ko bằng của oppo ",0
Máy ngon nhưng chơi game rất nóng + pin tụt nhanh mặc dù mới sử dụng đc vài tháng,0
"đã nhận hàng nhé shop, dùng rất ok .",1
máy lỗi rôi chán ghê,0
Lúc mới đem về thì ổn. 2 tuần sau thì máy Có hiện tượng tự cảm ứng. Máy bị đơ khi chơi bupg. Tự reset. ,0
hang chuẩn như mô tả trên trang,1
"ngon. mà giá tốt quá. hình thức ngoài bắt mắt, mình nhờ shop chọn màu xanh nhìn thời trang lắm. máy chạy tốt. nói chung tốt hơn mong đợi. cám ơn shop nè",1
Điện thoại vot lô Tiếp xúc sạc kém,0
Nguyên seal ok! Giao hàng nhanh,1
Dùng thử máy . mình chỉ ước nó chạy sybian chứ ko.phải kaios . chậm . nhìu tác vụ ko thông minh . cầm tay như máy tàu .. Hơi thất vọng,0
Bên trong k có điện thoại đâu nha chỉ có tai nghe và sạc thôi nhé mọi người đừng để bị lừa,0
Ok,1
Rất là OK . Máy đắt mà lại dùng sướng tê chym,1
"Với 7,5 triệu mà Chip chơi game không mượt lắm. Viền 2 cạnh bên wa dày. Nhìn không đẹp. Chua nói đến kính cường lực thế hệ thứ 3, không chống nước nữa. Nói chung là chịu khó thêm 800k nua mua con A8+ ngon hơn..!",0
Sản phẩm rất tệ ko hài lòng ,0
"tác vụ ko nổi bật lắm so với tầm giá.
Quá thất vọng với viên pin 3800mah. Chụp hình thiếu sáng quá tệ.
 * Tóm lại với giá tiền bỏ ra và thương hiệu thì a9 2018 chỉ đạt 6/10 điểm",0
Chất lượng sản phẩm rất tệ pin tuột nhanh mang tiếng pin 4000 màn hình cảm ứng lác mua đc 5 ngày mang đến bảo hành thì nhân viên nói đơ tý không ảnh hưởng gì nói chung thất vọng camera xău thì lồi khỏi nói không may lm xước thì khỏi bảo hành mà mua chỗ khác cùng lắm 4500k đã đắt còn làm ăn bố láo mua rồi k giả đc phải chịu nếu m.n mua chơi game con này k nên mua hay facebook zalo thì nên bỏ qua vì massenger cam trước gọi tối thôi dồi cả phát trực tiếp nữa đc cái ngoại hình khá ổn còn tầm 5 củ con này k đáng để mua,0
Sản phẩm chính hãng còn nguyên seal nguyên kiện như quảng cáo. Chụp chân dung đẹp nhung bi giới hạn trong khoảng cách 1.5m. Nhưng nếu có thể chụp chân dung ở khoảng cách xa hơn thì tuyệt vời!,1
"Cho 1 sao cho a50. A50 và a50s đang rất nhiều. Sóng 4g của sim lúc nào cũng 1 cục, 2 cục, pin nhanh hết. Mọi người cân nhắc khi mua a50 và 50s.",0
các bạn nên mua ủng hộ shop này bạn hàng uy tín giả rẻ đã test máy nghe to rõ lém thank shop nhìu,1
Mua dc 3tháng lúc nào cũng thông báo cập nhật hệ thống. Pin sạc 100 để qua đêm tụt còn 92 cho dù tắt ứng dụng ngầm. Nhiều lúc đang coi youtube thì bị out ra mấy lần :),0
Mới mua đc 2 ngày. Nhưng sao kết nối mạng 4G mà cứ hiện chữ E hoài. Khởi động máy lại thì lên 4G. Đc thời gian lại hiện chữ E. Mỗi khi bị chữ E là không lên lại 4G đc. Phải khởi động máy lại xài rất là bực. Đem ra tgdđ kiểm tra thì nói là chưa có căn cứ để đổi máy nói có thể do sim. Nhưng sim này đã sài lâu rồi. Đem qua máy khác thì ko bị tình trạng như vậy,0
dien thoai rat ok  nhung ko co cu sac chi co day thoi,1
Máy đẹp lắm anh.,1
Chơi game liên quân chỉnh cấu hình trung bình vẫn bị garena bắt giảm ...vì cấu hình không phù hợp vs độ phân giải của thiết bị.. ,0
Mất tiền oan vì những game trên điện thoại này và nút c ngày chính giữa menu là các dịch vụ cộng thêm của nhà mạng nếu vô tình chạm phải,0
"Rất hài lòng, máy ngon, mới. Cảm ơn shop",1
Tiền nào của đó nhưng sp như đả sài ròi vậy màng hình trầy sước hết .,0
Mới mua tròn 1 tháng. Mà máy lag quá. Đang dùng tự nhiên đứng máy. R màn hình bị giật nữa chứ. Nản,0
"Mới mua tầm 5 tháng đổi được cái 32 GB được ko z tại gì có RAM 2 GB chơi thường xuyên bị đơ màn hình
",0
"máy xài cũng dc.pin thì 2 ngày mới hết, nhưng tôi ghét nhất dt này hay quảng cáo nhiều quá. đang chơi cái gì hay vào ứng dụng gì cũng quảng cáo, nhiều lúc muốn đập điện thoại luôn vì quảng cáo. ",0
Hàng dùng tốt.tin tương shop đã đặt chiếc thứ hai ram6 mua hàng 2lan mà ko thấy shop cảm ơn một câu 😉,1
"sản phẩm chính hãng dùng ok, lần sau sẽ mua của shop nữa",1
"Nhìn chung sản phẩm ổn, đẹp, tốt so với giá tiền. Giao hàng lâu quá, 5 ngày mới nhận được",1
hỏi mua viền đằng trước máy màu trắng mà shop lại giao màu đen. nhưng không sao hàng vẫn chất lượng,1
"Là con gái mình sợ mua qua mạng bị lừa lắm , xem hết đánh giá theo dõi sộp 1 tháng đợi đúng lúc sản mấy giám mua đó . Shop rất uy tín và cẩn thận đã trá máy cho mình. Xin cảm ơn shop ",1
"máy mới mua về có chút vấn đề về sim ghép, loay hoay mãi cuối cùng cũng đã dùng đc ổn định, máy chạy mượt, pin khoẻ, nói chung là ok",1
vỏ quá tệ,0
Có sự nhầm lẫn sai sót nhưng shop nhiệt tình và có trách nhiệm xử lí . Cám ơn nhiều . Máy full box rất đẹp,1
San pham dep chay muot Choi Game rat tot,1
"Đã nhận hàng, điện thoại đẹp, sắc nét, mua đc giá sale rất ưng ý 👍👍",1
"yêu shop luôn, sản phẩm quá tốt",1
Máy đẹp mà thấy nhiều người mua nên biết sộp uy tín ,1
Mới mua bị lỗi ngắt kết nối bluetooth rồi tự kết nối lại liên tục!,0
"thiết kế đẹp, pin okie",1
xài rất ok,1
Máy ngoại hình đẹp ! Màn hơi bị ám bóng ! Nhưng hợp lý so với giá tiền,1
Rất tuyệt. Ngon bổ rẻ,1
"Kém chất lượng, dùng bị đơ. Màn hình lỗi. Không như Quảng cáo. Pin nhanh tụt nữa dù tắt wiffi",0
Ngày mai tôi ra trả góp và sẽ đưa máy đi coi lại về vấn đề máy tối ưu hóa màn hình đéo tốt...sài màn hình này mà phải sài theo một cách giới hạn ứng dụng thì sài làm quái j...,0
"giao hàng nhanh, Máy nguyên hộp , đầy đủ phụ kiện và mới 100%. Đầu tiên nhận nthe đã thích lắm rồi. Bh trải nghiệm đã ",1
hàng đẹp bin bền ko tỳ vết  cảm ơn shop,1
K thấy giấy bảo hành ,0
hàng ok ... rất hài lòng ,1
Đã mua lần 2 Rất ưng ý,1
Em mới mua iphon7plus tại tg di động.khi coi youtobe luc chuyển kenh loa co tieng rè . Cứ chuyển kenh khác la bị xong vẫn coi bình thường . Em da tắt hiệu ứng rồi manko hết cho em biết tai sao . Nếu lỗi co đổi mới đc ko zay,0
Bản quốc tế.máy hình thức đẹp.đúng hàng của shop lớn.làm ăn uy tín.hàng như giới thiệu.thank shop,1
"Điện thoại gì mà tự tắt nguồn hoài, giờ thì trắng màn hình k lên nguồn được luôn, mà giờ trả lại thì mất công nên thôi khuyên ai muốn mua thì đừng nên mua",0
"Mọi thứ thì có vẻ ổn, từ thiết kế tới nhiều tính năng hữu ích, nhưng loa thì bé. Thất vọng. ",0
Đóng gói chắc chắn hàng ok ,1
Hàng nguyên seal. Giá tốt ,1
"Sp tốt đẹp mắt, chử to rỏ, tn có dấu . Ok",1
Máy zin ngoại hình chuẩn 99% . Shop nhiệt tình,1
Đặt hàng màu đen mà giao màu trắng. Bó tay. Mất thời giờ quá,0
Hàng tốt! Giao nhanh. Shipper dễ thương,1
"Sài được không lâu máy lang dô YouTube ,zingmp3 Google..... Đều bị dăng ra buộc phải khởi động lại ,pin sài từ từ thì thấy mua hao lắm ",0
Cứ tưởng ko có camera. Chán. Ko có tiếng việt. Khó sử dụng,1
"Hàng hịn và đẹp, mượt, loa to sóng khỏe vv và vv... Chúc shop ngày càng đắt hàng với nhiều sản phẩm chất lượng như vậy 😚😚😚",1
Hàg ok,1
Máy rất tốt nha shop sẽ mua ủng hộ nhiều trong tương lai,1
"sao pin 4000 mà chỉ dùng hơn 1 ngày mặc dù đã tắt hết ứng dụng chạy ngầm, chỉ nghe gọi mà hao pin quá. Thất vong",0
Xin ai đừng mua dòng Nokia.cực kỳ tệ..tệ nhất là đầu xạc..mới xài đc 1tháng..mà sạc ko vô pin nữa.quá tệ..máy thì ko nói,0
Máy xấu quá shop àh,1
Mạng quá chán. Dùng tốc độ cao mà vẫn ko truy cập đc. Mình chuyển qua chế độ 3G 4G mà vẫn vậy.  Máy cũ J7Prime  vẫn cùng đứng 1chỗ mà truy cập còn ngon hơn con Oppo Reno này,0
Máy mới .Đẹp,1
"dc đó shop, thích shop rồi đó 😁",1
nói trung hàng rẻ dùng tạm ổn,1
"Riêng camera bị nhoè và không sắc nét, không bằng samsung j2pro 2018. ",0
Sản phẩm ổn nhưng đóng gói mở ra tưởng hòm để súng...,1
"đẹp, giao nhanh",1
"ĐT khá ổn lướt mượt, do phiên bản cũ nên nhiều ứng dụng không cho phép tải. Shop phục vụ nhiệt tình.  ",1
Máy OK. Liên hệ shop chưa phản hồi.,1
"Mua cho mẹ sài đc hơn 2 tháng máy sập nguồn liên tục .
Hôm nay mih về lấy chèn lại pin chặt rồi sạc đầy thì thấy nhanh hao pin ko biết có đc đổi pin hay ktra j ko",0
Tạm ổn,1
"Lần đầu dùng samsung .nhưng quá thất vọng .. 
Mọi thứ đều ổn . Chơi game rất nhiều lỗi",0
Hàng dùng tốt.tin tương shop đã đặt chiếc thứ hai ram6 mua hàng 2lan mà ko thấy shop cảm ơn một câu 😉,1
Giá hợp lý,1
Khá hài lòng về sản phẩm. Hiện tại máy rất ok. Sử dụng thêm time nữa xem sao. Ok sẽ ủng hộ tiếp.,1
"Đã mua hàng ở shop nhiều lần nên quánh giá 5 sao. Shop xử lý đơn hàng nhanh, giao hàng từ HN vào SG rất nhanh. Máy ok.",1
Ok,1
Sạc pin rất lâu gần 4 tiếng mới được 100%. Nhờ công nghệ sạc nhanh nếu không là sạc cả :),0
"Giao hàng nhanh, đóng gói cẩn thận",1
Máy bắt sóng quá kém và cả mạng wifi mạng 4G tốc đọ cao mà xem phim chỉ được 480p à ,0
"Mua oppo A9 2,3 ngày xài cũng ổn có lỗi không hài lòng màn hình tự động xoay khi không bấm auto rất khó chịu",0
Hàng giao khá nhanh. Nguyên seal. Cấu hình ổn với tầm giá này,1
Máy sóng yếu. K có tính năng đánh thức màn hình. Pin 5000 nhưng cũng đc ổn lắm. Cần bổ sung thêm tính năng mới trong phiên bản cập nhật tiếp theo. ,0
Vỏ máy khi ráp vào bị hở,0
